instrument_key,time_utc,open,high,low,close,volume
spy,2020-01-02T14:30:00Z,100,101,99,100.5,1000
spy,2020-01-02T15:30:00Z,100.5,101.5,100,101,1100
iwm,2020-01-02T14:30:00Z,110,111,109,110.5,1000
iwm,2020-01-02T15:30:00Z,110.5,111.5,110,111,1100
efa,2020-01-02T14:30:00Z,120,121,119,120.5,1000
efa,2020-01-02T15:30:00Z,120.5,121.5,120,121,1100
eem,2020-01-02T14:30:00Z,130,131,129,130.5,1000
eem,2020-01-02T15:30:00Z,130.5,131.5,130,131,1100
vnq,2020-01-02T14:30:00Z,140,141,139,140.5,1000
vnq,2020-01-02T15:30:00Z,140.5,141.5,140,141,1100
shy,2020-01-02T14:30:00Z,150,151,149,150.5,1000
shy,2020-01-02T15:30:00Z,150.5,151.5,150,151,1100
ief,2020-01-02T14:30:00Z,160,161,159,160.5,1000
ief,2020-01-02T15:30:00Z,160.5,161.5,160,161,1100
tlt,2020-01-02T14:30:00Z,170,171,169,170.5,1000
tlt,2020-01-02T15:30:00Z,170.5,171.5,170,171,1100
tip,2020-01-02T14:30:00Z,180,181,179,180.5,1000
tip,2020-01-02T15:30:00Z,180.5,181.5,180,181,1100
lqd,2020-01-02T14:30:00Z,190,191,189,190.5,1000
lqd,2020-01-02T15:30:00Z,190.5,191.5,190,191,1100
gld,2020-01-02T14:30:00Z,200,201,199,200.5,1000
gld,2020-01-02T15:30:00Z,200.5,201.5,200,201,1100
