ticker,date,adjusted_close,total_return_index
SPY,2020-01-02,100,100
SPY,2020-01-03,101,101
IWM,2020-01-02,110,100
IWM,2020-01-03,111,101
EFA,2020-01-02,120,100
EFA,2020-01-03,121,101
EEM,2020-01-02,130,100
EEM,2020-01-03,131,101
VNQ,2020-01-02,140,100
VNQ,2020-01-03,141,101
SHY,2020-01-02,150,100
SHY,2020-01-03,151,101
IEF,2020-01-02,160,100
IEF,2020-01-03,161,101
TLT,2020-01-02,170,100
TLT,2020-01-03,171,101
TIP,2020-01-02,180,100
TIP,2020-01-03,181,101
LQD,2020-01-02,190,100
LQD,2020-01-03,191,101
GLD,2020-01-02,200,100
GLD,2020-01-03,201,101
