group,target_relative_path,origin_project_relative_path,row_count,size_bytes,source_sha256,copied_sha256,hash_match
RA0_analysis_baseline,data/import/analysis_baseline/category_interpretation.csv,data/v13/ra0/phase_ra0_20260716_v1/category_interpretation.csv,4,2185,1995ebe640b45fb4452d2ecc7361a990bb075e0bd229a5d4319e8fcf7b2b0cce,1995ebe640b45fb4452d2ecc7361a990bb075e0bd229a5d4319e8fcf7b2b0cce,PASS
RA0_analysis_baseline,data/import/analysis_baseline/etf_gap_metrics.csv,data/v13/ra0/phase_ra0_20260716_v1/etf_gap_metrics.csv,11,2204,ae686c09219d4f279e8102eb983ece0423fce7151905da4d42b2c8f43632f379,ae686c09219d4f279e8102eb983ece0423fce7151905da4d42b2c8f43632f379,PASS
RA0_analysis_baseline,data/import/analysis_baseline/frequency_metrics.csv,data/v13/ra0/phase_ra0_20260716_v1/frequency_metrics.csv,39,15108,366f6d3737ea0f1195eb5d26e765e736e9dad76b2117e2b3d58158836a030157,366f6d3737ea0f1195eb5d26e765e736e9dad76b2117e2b3d58158836a030157,PASS
RA0_analysis_baseline,data/import/analysis_baseline/relative_value_metrics.csv,data/v13/ra0/phase_ra0_20260716_v1/relative_value_metrics.csv,8,1229,58920a0f21e965a0277d2732946ce7dc8fde879c4aece320b1bc4691dd3aac5b,58920a0f21e965a0277d2732946ce7dc8fde879c4aece320b1bc4691dd3aac5b,PASS
RA0_analysis_baseline,data/import/analysis_baseline/session_metrics.csv,data/v13/ra0/phase_ra0_20260716_v1/session_metrics.csv,43,6582,671a4fe71dfb9cc96e166424aef9d92f3db9cff4e086bdaf65db7e847344e675,671a4fe71dfb9cc96e166424aef9d92f3db9cff4e086bdaf65db7e847344e675,PASS
ETF11_curated_total_return,data/import/daily/curated_etf_total_return/etf_daily.csv,data/etf11/normalized/20260712T135236Z_v1/wfo/etf_daily.csv,54285,18521097,429c59d891f11b2d25475a17bab4306088b77454fb8af3a88bd01ad7dbdc4998,429c59d891f11b2d25475a17bab4306088b77454fb8af3a88bd01ad7dbdc4998,PASS
ETF11_external_sources,data/import/daily/etf11_sources/etf/eem_total_return.csv,data/etf11/raw/20260712T135236Z/etf/eem_total_return.csv,5847,1234693,30c3a27353637d8e4837d79b4f0d488fd773331d6bee3ede407024b7f2972de5,30c3a27353637d8e4837d79b4f0d488fd773331d6bee3ede407024b7f2972de5,PASS
ETF11_external_sources,data/import/daily/etf11_sources/etf/efa_total_return.csv,data/etf11/raw/20260712T135236Z/etf/efa_total_return.csv,6253,1311070,14c1e549b0185c6f7f00349af35b20ccfa83b9c010d95f8c0fd443804798b6dd,14c1e549b0185c6f7f00349af35b20ccfa83b9c010d95f8c0fd443804798b6dd,PASS
ETF11_external_sources,data/import/daily/etf11_sources/etf/gld_total_return.csv,data/etf11/raw/20260712T135236Z/etf/gld_total_return.csv,5443,1145764,23918c5707a019deb836664593c5986e56aeedc85c8655a84ec2c328b6666643,23918c5707a019deb836664593c5986e56aeedc85c8655a84ec2c328b6666643,PASS
ETF11_external_sources,data/import/daily/etf11_sources/etf/ief_total_return.csv,data/etf11/raw/20260712T135236Z/etf/ief_total_return.csv,6025,1260118,716e358c8b7e17d260eee9c7670ed64598610c1614f268efd3c261fd65c4815a,716e358c8b7e17d260eee9c7670ed64598610c1614f268efd3c261fd65c4815a,PASS
ETF11_external_sources,data/import/daily/etf11_sources/etf/iwm_total_return.csv,data/etf11/raw/20260712T135236Z/etf/iwm_total_return.csv,6568,1373189,9fa1e9d45e492b18ee8bc254aec36eff1764cb5303c9c8cdbe538da46b34cfd0,9fa1e9d45e492b18ee8bc254aec36eff1764cb5303c9c8cdbe538da46b34cfd0,PASS
ETF11_external_sources,data/import/daily/etf11_sources/etf/lqd_total_return.csv,data/etf11/raw/20260712T135236Z/etf/lqd_total_return.csv,6025,1268406,f7ad385cf8fa671954f3edd284c6a457903f88ab7ce06eae443b3598f96ac779,f7ad385cf8fa671954f3edd284c6a457903f88ab7ce06eae443b3598f96ac779,PASS
ETF11_external_sources,data/import/daily/etf11_sources/etf/shy_total_return.csv,data/etf11/raw/20260712T135236Z/etf/shy_total_return.csv,6025,1249339,438e2044fb5dce0f1ecd581d3af7d16b7b7883cc3ddd466ff84f57286dac61fc,438e2044fb5dce0f1ecd581d3af7d16b7b7883cc3ddd466ff84f57286dac61fc,PASS
ETF11_external_sources,data/import/daily/etf11_sources/etf/spy_total_return.csv,data/etf11/raw/20260712T135236Z/etf/spy_total_return.csv,8418,1699847,a478edd89bcad3e597f5fe7081244a985bfd83fb961a9147623c60ae803eb9a9,a478edd89bcad3e597f5fe7081244a985bfd83fb961a9147623c60ae803eb9a9,PASS
ETF11_external_sources,data/import/daily/etf11_sources/etf/tip_total_return.csv,data/etf11/raw/20260712T135236Z/etf/tip_total_return.csv,5683,1196772,e358f2797ed0e05f231c9ae6c68aa2745f2b9e2dcb366ae3395d26ceaea23ecb,e358f2797ed0e05f231c9ae6c68aa2745f2b9e2dcb366ae3395d26ceaea23ecb,PASS
ETF11_external_sources,data/import/daily/etf11_sources/etf/tlt_total_return.csv,data/etf11/raw/20260712T135236Z/etf/tlt_total_return.csv,6025,1264796,964e6732c95b69d57cdc3dc025f5219b6d137e4936fee2ebb8f1c2039a55bd4e,964e6732c95b69d57cdc3dc025f5219b6d137e4936fee2ebb8f1c2039a55bd4e,PASS
ETF11_external_sources,data/import/daily/etf11_sources/etf/vnq_total_return.csv,data/etf11/raw/20260712T135236Z/etf/vnq_total_return.csv,5479,1138530,13fca565c937913d9dbb56e140bce9482ef4fa018a129f632b1e008d00a89849,13fca565c937913d9dbb56e140bce9482ef4fa018a129f632b1e008d00a89849,PASS
